Lai Chau
Dien Bien
Son La
Lao Cai
Yen Bai
Ha Giang
Tuyen Quang
Cao Bang
Bac Kan
Phu Tho
Thai Nguyen 
Vinh Phuc
Lang Son
Bac Giang
Quang Ninh
Bac Ninh
Hai Duong
Hung Yen
Hoa Binh
Ha Nam
Thai Binh
Nam Dinh 
Ninh Binh
Thanh Hoa
Nghe An
Ha Tinh
Quang Binh
Quang Tri
Quang Nam
Quang Ngai
Kon Tum
Binh Dinh
Gia Lai
Phu Yen
Dak Lak
Khanh Hoa
Dak Nong
Lam Dong
Ninh Thuan
Binh Thuan
Dong Nai
Binh Phuoc
Tay Ninh
Binh Duong
Vung Tau
Long An
Dong Thap
Tien Giang
Ben Tre
Vinh Long
Tra Vinh
Soc Trang
Hau Giang 
An Giang
Kien Giang
Bac Lieu
Ca Mau
