id,room
0,63
1,64
4,65
5,66
7,67
9,68
10,69
11,70
17,71
18,72
19,73
23,74
28,75
35,76
40,77
42,78
44,79
48,80
49,81
51,82
55,83
59,84
61,85
63,86
64,87
65,84
66,64
67,88
70,75
81,89
82,90
88,91
100,92
106,93
107,94
108,95
109,96
110,97
111,78
112,98
113,99
114,100
115,101
117,75
119,81
122,97
123,102
124,103
126,89
127,104
129,105
131,98
132,106
133,105
134,107
135,97
136,64
137,91
138,100
140,108
141,108
142,109
145,90
146,88
147,82
149,81
151,101
152,91
153,90
154,107
155,79
156,79
160,77
161,106
163,110
164,88
166,111
168,96
171,99
172,77
173,78
174,98
175,87
176,104
179,92
182,112
183,70
184,111
185,70
186,103
187,82
188,87
189,86
190,67
191,112
192,109
193,93
194,69
195,67
197,84
200,102
201,94
203,105
204,104
206,112
210,86
211,69
215,110
216,74
217,66
218,80
219,66
221,101
229,94
235,63
240,110
245,96
247,99
248,74
252,108
253,92
255,76
256,109
257,107
259,68
260,85
263,89
271,93
272,83
273,85
276,71
280,83
285,95
287,103
288,76
290,95
296,72
300,73
302,65
303,65
308,72
309,102
311,73
312,68
313,71
314,100
316,111
320,63
321,80
6775,106
