,id,room
0,0,63
1,1,64
0,2,5
1,3,6
2,4,65
3,5,66
2,6,7
4,7,67
3,8,8
5,9,68
6,10,66
7,11,69
4,12,6
5,13,7
6,14,9
7,15,10
8,16,11
8,17,70
9,18,71
10,19,72
9,20,12
10,21,13
11,22,14
11,23,73
12,24,15
13,25,16
14,26,17
15,27,18
12,28,74
16,29,19
17,30,20
18,31,21
19,32,22
20,33,17
21,34,19
13,35,75
22,36,21
23,37,23
24,38,24
25,39,25
14,40,76
26,41,24
15,42,77
27,43,5
16,44,78
28,45,20
29,46,26
30,47,25
17,48,79
18,49,80
31,50,27
19,51,81
32,52,26
33,53,27
34,54,28
20,55,81
35,56,27
36,57,29
37,58,14
21,59,78
38,60,30
22,61,74
39,62,8
23,63,75
24,64,82
25,65,73
26,66,83
27,67,71
40,68,8
41,69,31
28,70,84
42,71,32
43,72,33
44,73,34
45,74,35
46,75,30
47,76,36
48,77,37
49,78,38
50,79,39
51,80,39
29,81,85
30,82,86
52,83,40
53,84,41
54,85,42
55,86,13
56,87,43
31,88,83
57,89,22
58,90,44
59,91,32
60,92,45
61,93,26
62,94,46
63,95,12
64,96,44
65,97,39
66,98,13
67,99,47
32,100,87
68,101,28
69,102,48
70,103,49
71,104,45
72,105,9
33,106,88
34,107,89
35,108,86
36,109,88
37,110,90
38,111,91
39,112,92
40,113,93
41,114,94
42,115,95
73,116,20
43,117,87
74,118,48
44,119,65
75,120,22
76,121,47
45,122,70
46,123,94
47,124,96
77,125,16
48,126,97
49,127,74
78,128,11
50,129,90
79,130,19
51,131,85
52,132,77
53,133,75
54,134,98
55,135,72
56,136,99
57,137,95
58,138,93
80,139,50
59,140,100
60,141,66
61,142,88
81,143,51
82,144,36
62,145,83
63,146,101
64,147,96
83,148,43
65,149,102
84,150,11
66,151,87
67,152,63
68,153,92
69,154,86
70,155,103
71,156,63
85,157,46
86,158,48
87,159,12
72,160,67
73,161,95
88,162,23
74,163,103
75,164,81
89,165,35
76,166,99
90,167,15
77,168,71
91,169,50
92,170,52
78,171,104
79,172,92
80,173,102
81,174,105
82,175,79
83,176,93
93,177,53
94,178,54
84,179,100
95,180,42
96,181,55
85,182,105
86,183,65
87,184,98
88,185,106
89,186,80
90,187,106
91,188,107
92,189,64
93,190,77
94,191,79
95,192,73
96,193,103
97,194,108
98,195,78
97,196,34
99,197,109
98,198,7
99,199,56
100,200,110
101,201,80
100,202,57
102,203,107
103,204,67
101,205,58
104,206,110
102,207,35
103,208,45
104,209,54
105,210,68
106,211,108
105,212,59
106,213,18
107,214,31
107,215,69
108,216,96
109,217,97
110,218,90
111,219,107
108,220,51
112,221,100
109,222,52
110,223,46
111,224,24
112,225,18
113,226,15
114,227,41
115,228,37
113,229,91
116,230,29
117,231,55
118,232,32
119,233,55
120,234,43
114,235,110
121,236,42
122,237,49
123,238,47
124,239,41
115,240,108
125,241,60
126,242,21
127,243,40
128,244,49
116,245,101
129,246,30
117,247,102
118,248,111
130,249,37
131,250,61
132,251,59
119,252,70
120,253,84
133,254,28
121,255,91
122,256,68
123,257,111
134,258,29
124,259,89
125,260,111
135,261,33
136,262,23
126,263,76
137,264,34
138,265,17
139,266,10
140,267,44
141,268,57
142,269,56
143,270,10
127,271,105
128,272,94
129,273,82
144,274,58
145,275,38
130,276,104
146,277,52
147,278,25
148,279,31
131,280,72
149,281,50
150,282,53
151,283,33
152,284,62
132,285,109
153,286,57
133,287,64
134,288,85
154,289,58
135,290,99
155,291,61
156,292,53
157,293,36
158,294,38
159,295,51
136,296,89
160,297,14
161,298,16
162,299,5
137,300,76
163,301,56
138,302,112
139,303,82
164,304,62
165,305,9
166,306,59
167,307,61
140,308,97
141,309,106
168,310,60
142,311,84
143,312,69
144,313,98
145,314,112
169,315,60
146,316,112
170,317,54
171,318,40
172,319,6
147,320,109
148,321,101
149,322,104
