,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
0,Nữ,Hoa Binh,hướng ngoại full time ít nói nhiều nhạy cảm có lúc hướng nội,mì udon uống trà sữa nhật rau má mix món nào mình thấy hợp thì đều thích ăn,đàn hát nghệ thuật xem mv ca nhạc vẽ tranh,"Đừng quá bừa bộn, nhiều chuyện",lịch sử chơi thể thao,6,9
1,Nam,Quang Ninh,ưa mạo hiểm hướng ngoại thích đi các hoạt động xã hội thích được đi chơi,bún,của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) đọc truyện viết code thư giãn,vui tính hòa đồng,thích học bài cafe,7,9
2,Nam,Tra Vinh,hòa đồng không thích đám đông lắm nhưng dễ hòa nhập o tập thể huong noi va thich o mot minh hướng ngoại khi cần thiết,món nướng,phim hoạt hình thích chơi cầu lông bóng bàn tập trung nghiên cứu một vấn đề nào đó,"Có thể là người học mỹ thuật hay kinh tế, vừa vui vừa trầm tính học giỏi hoạt bát",đọc sách.. đồ ăn ngọt,7,9
3,Nữ,Tuyen Quang,hướng nội ít nói hướng ngoại thích giao tiếp vui vẻ hoà đồng v.v nửa nội nử ngoại năng động,xúc xích sữa đậu nành,đi chơi cùng bạn bè người thân bóng bàn,"Hoà đồng, dễ chịu",nhạc cụ coi anime ở nhà một mình trang trí phòng ngủ,1,3
4,Nam,Tien Giang,trầm tính hướng trung,sữa bắp thích ăn đồ ăn của mẹ với cậu nấu. thích nhất là canh khổ qua,pokemon sự logic đi tản bộ khoa học học ngoại ngữ,"Hoà đồng, thích gọn gàng",ngủ:)) du lịch cafe đàn,6,6
5,Nữ,Lao Cai,hướng nội trầm tính,lẩu cơm sườn,chơi thể thao ở nhà một mình lướt mạng thiết kế thế giới,"Vui tính, hoà đồng, thấu hiểu biết chia sẻ",phụ kiện công nghệ chơi bóng rổ,3,2
6,Nam,Kon Tum,huong noi va thich o mot minh nhộn nhịp nhiệt tình có lúc hướng nội,ít mỡ khoai tây cơm chiên trứng trừ đồ quá ngọt quá mặn thì cái gì cũng có thể ăn phở xào,phá máy tính mình thích ngôn ngữ bóng đá,Sạch gọn và rõ ràng,ăn uống gym thích xem tivi,7,6
7,Nữ,Kien Giang,hướng nội nói nhiều với người quen,pepsi,vận động thể lực (nhẹ),"người có ý thức, trách nhiệm, hoạt bát và quan tâm mọi người",badminton học nhóm online,4,1
8,Nam,Tra Vinh,hoà đồng với mọi người hoà đồng hướng nội tích cực dễ thích nghi,không rõ phở bò đồ bún phở việt nam bánh mì kẹp các loại,xem anime thể thao chơi game,Đẹp,tập thể dục ngoài trời xem youtube ngủ nghỉ ngơi trang điểm hội hoạ,2,7
9,Nữ,Bac Ninh,trầm tính. hoà đồng vui vẻ người thân hoạt bát,sữa chua mít bánh mỳ,thích môn toán,"Là một người biết cách bắt đầu câu chuyện tại vì mình ít nói, tôn trọng ý kiến của nhau, không đòi mói, ngay thẳng, hoà đồng","code đi mua sắm

không thích: chạy bộ",5,7
10,Nữ,Son La,hướng nội thích ở 1 mình chia sẽ năng động,"sương sáo các thứ
food: cái gì cũng ăn được. thích rau kem ốc quế... phở xào",thích đá bóng đánh cờ vua thích chơi game offline phim truyền hình xem youtube ngủ nghỉ ngơi,"người có ý thức, trách nhiệm, hoạt bát và quan tâm mọi người",lưới fb bóng đá,1,4
11,Nữ,Son La,đôi khi hướng ngoại thích 1 mình đôi lúc hướng ngoại,hải sản mỳ tôm đồ cay hàn quốc nước ép.,hóng drama tham gia hoạt động ngoại khoá ngoại ngữ chơi đàn piano tám chuyện,"Vui tính, hoà đồng",làm mô hình,7,1
12,Nữ,Binh Thuan,nhưng không hẳn hướng nội :)) là một người nội dễ thương thích một mình nhưng lại sợ cô đơn,cơm ngon còn bánh bao hơi dở nem nướng chocolate bún mắm,stress thì mình đâm đầu vô luôn thích chơi cầu lông edit,Hướng nội ,nhạc cụ vệ sinh máy tính thích chơi bóng rổ ngủ:)),8,8
13,Nam,Thai Nguyen ,tốt bụng sợ xã hội nội tâm thích đi đâu đó,hủ tiếu xào,cũng không biết thích gì ngắm bầu trời câu cá đá bóng badminton tiếng anh,"Biết chia sẻ công việc, có tính tự giác, trách nhiệm,hòa đồng, bình đẳng",stress thì mình đâm đầu vô luôn xem phim ngôn tình chơi bóng rổ,3,5
14,Nam,Phu Tho,hướng nội với người ngoài cũng có lúc hướng nội có lúc hướng ngoại,thích ăn gà ăn cơm mẹ nấu,thích vẽ xem anime chơi nhạc,"Vui tính, dễ nói chuyện, hoà đồng.",chạy bộ làm mô hình,4,7
15,Nữ,Thanh Hoa,cống hiến hết mình cần nhiều riêng tư thích một mình,thích đồ ăn có trứng muối bimbim,đàn thích chill,"hòa đồng, biết điều",làm mô hình,1,8
16,Nữ,Dak Nong,ít nói nhiều thích đi dây đó lúc nói nhiều lúc nói ít khá hướng nội. thích sạch sẽ,đặc biệt là chè,phá máy tính,"vui tính,  hòa đồng , dễ bắt chuyện ",xem tv series mình thích chạy bộ tìm hiểu những kiến thức đa ngành đàn bơi lội,4,7
17,Nữ,Dak Nong,linh hoạt ngại bộc lộ tâm tư tình cảm cá nhân với người khác. là người hướng nội part time thích có ko gian riêng tư 1 mình thích không gian riêng,bánh chuối chiên sữa milo,đọc truyện viết code trang điểm tập thể dục ngoài trời đọc truyện âm nhạc ( nghe nhạc),"Điềm tĩnh, sạch sẽ, hiền",trang trí phòng ngủ dark fantasy manga tâm lí học,4,7
