,Name,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
0,0,Nam,Binh Phuoc,cần nhiều riêng tư hướng trung thích giao lưu với mọi nguời,đốc cơ thanh . đồ ăn chay,trí tuệ như nhau nên điều đó cũng là một sự thú bị tiền,không,một người hiểu biết rộng hiểu chuyện. gọn ràng sạch sẽ,7,5
1,1,Nữ,Long An,có phần hơi thích kiểm soát người suy nghĩ nhiều,bánh tráng bún đậu trà sữa đặc biệt là tôm,đọc sách thích đi karaoke kinh quẻ nghệ thuật thế giới,không,tử tế dùng đồ của ng khác thì phải biết mượn,10,9
2,2,Nam,Thanh Hoa,thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra thích nơi đông người ngày ngủ đêm bay dễ tiếp xúc,đồ ăn healthy cơm cháy kho quẹt đi ăn với bạn,...,không,hoạt bát thân thiên vui vẻ,7,8
3,3,Nam,Binh Thuan,nói nhiều hướng ngoại thích đi đây đó lạc quan năng động,chỉ cần không cay là được,thích đi du lịch ăn thích chơi suốt ngày,không,năng động suy đoán,8,10
4,4,Nam,Soc Trang,chung chung,thích ăn đồ ăn của mẹ với cậu nấu. thích nhất là canh khổ qua các món gỏi chả giò bánh ngọt những món có vị chua,dark fantasy manga o buổi sáng làm gốm,không,"biết cư xử
nói ít thôi
ở sạch sẽ
chia việc nhà
có thể tin tưởng được (tiền bạc)
ngủ đừng ngáy
trình độ xấp xỉ như mình chứ đừng zốt quá nó ô dề lắm :b thích nói thật ngăn nắp. biết tuân thủ lợi ích chung.",9,10
5,5,Nam,Hai Duong,hướng ngoại ít nói thích ở một mình ít nói hướng nội thích sống ở trọ,các thế loại mì các món ăn có nước,nghiên cứu về tài chính đi xe đạp bói tử vi,không,vui hoà dồng dễ nói chuyện tốt bụng,10,9
6,6,Nam,Ha Giang,lúc này lúc kia bạn bè. thích nghệ thuật,bánh khọt xúc xích,thích xem phim edit âm nhạc o buổi sáng,không,dễ thương chung sở thích có thể đấu tranh với sự vô tâm ít nói của mình,7,8
7,7,Nam,Gia Lai,một người ít nói hướng nội,ăn đồ ngon nước ép thơm fastfood bánh cuốn,đi chơi cùng bạn bè người thân du lịch cùng bạn chụp ảnh,không,ocd càng tốt. không quá tính toán hơn thua thích nấu ăn bạn cùng phòng biết lùa gà vui vẻ - hài hước,6,7
8,8,Nữ,Vung Tau,cởi mở thích làm việc thường thích ở một mình,bánh plan cá kho buger cơm gà đồ bình dân hoi.,học tiếng anh vẽ... vệ sinh máy tính đánh võ chạy xe,không,thích gọn gàng ít nói thân thiện biết giữ gìn hoà khí chung,8,8
9,9,Nam,Hung Yen,thích có ko gian riêng tư 1 mình cũng có lúc hướng nội có lúc hướng ngoại hướng ngoài. đôi khi ko thích chia sẻ nhiều lắm thoải mái khi gia nhập,thích ăn mì cay ỏi gà,các hoạt động xã hội mình thích ngôn ngữ,không,người vui tính hòa người hài hước trưởng thành đẹp,7,8
10,10,Nam,An Giang,dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều. hướng ngoại partime độc lập hướng ngoại với người quen,.... bánh chuối chiên cơm chiên các loại,thích học thích code đi coi phim thường hay quan tâm những tin tức về nó thích khoa học trò chơi điện tử,không,hoặc cùng trường dễ dãi quan tâm mọi người,8,8
11,11,Nam,Binh Dinh,hoạt bát nhiệt tình hoà đồng vui vẻ thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ nhạy cảm, cơm tấm long xuyên sandwich,đánh cờ vua ngắm bầu trời choi game video game,không,ăn nhiều,9,7
12,12,Nữ,Tra Vinh,"ambivert mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự mình là một người hướng ngoại hoà đồng với mọi người",các loại mì ........; nói chung là mình thích ăn rất nhiều món :3 mỳ quảng,esports câu cá đá bóng,không,hiểu chuyện. người hòa đồng tích cực có ý thức là được,8,6
13,13,Nam,Quang Tri,nghiêng về hướng ngoại dễ bị lung lay bởi cảm xúc hướnh ngoại,thích đồ healthy drink: (ưu tiên) nước lọc bánh bò hamburger cơm chiên,uống cà phê thích vẽ văn học,không,không care lắm nếu chung sở thích thì càng tốt không nhiều chuyện thích nấu ăn sạch sẽ không bừa bộn,9,10
14,14,Nam,Gia Lai,là một người ít nói ghét sự cô đơn,bánh canh bò nướng,thiết kế kinh quẻ trò chơi điện tử,không,người có chính kiến,5,9
15,15,Nữ,Nam Dinh ,lúc này lúc kia hoà đồng với mọi người mình là một người khá rụt rè khi ở một mình. thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ hướng nội ít nói thik ở một mình,cơm nước ngọt blahblah e thik các loại nước ngọt không có gas vd như nước yến 7749 loại mắm. không thích đồ ăn chứa quá nhiều dầu món nào mình thấy hợp thì đều thích ăn coca-cola,ăn uống,không,thích ăn tính giống mình tử tế,9,9
16,16,Nam,Vung Tau,trầm tính lúc này lúc kia thích ở một đám,thích đồ healthy nước lọc coca cola… thích ăn mì cay các món nướng,võ giải đố,không,trung thực tâm lý =))),7,10
17,17,Nam,Ha Tinh,tốt bụng ít nói nhưng hay chia sẻ với mn,đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í. khoai tây,tâm lý học nghe nhạc cũng không biết thích gì đá banh,không,tự giác ngành kỹ thuật hoạt bát vui tính,7,9
18,18,Nam,Binh Phuoc,hướng nội nữa mùa chỉ thích ngủ một mình hoà đồng với mọi người thoải mái,các loại lẩu,xem phim ngôn tình ...) tám chuyện học nhóm online,không,sẻ chia,5,7
19,19,Nữ,Dong Thap,nhưng không phải e sợ đám đông cũng hơi hướng ngoại có lúc hướng nội thích được đi chơi mình ambivert,"mình ăn thích ăn đồ healthy uống caffee redbull
không thích cafe gói trà đào… ngũ cốc",cờ vua được ăn tiếng anh...,không,nhưng đừng quá ồn ào. tự giác người sống có quy củ không tính toán với bạn cùng phòng khác.,9,9
20,20,Nữ,Quang Ngai,hay ngại e là một người khá tự ti thích giao lưu với mọi nguời,bánh mì...,tập thể dục ngoài trời chơi cờ vua làm gốm đi tản bộ,không,có tính tự giác bạn cùng phòng phải là người sạch sẽ,7,10
21,21,Nam,Nghe An,trầm tính,bánh xèo buger thích ăn món mì cay,đàn guzheng,Có,mình thích người cùng phòng vui tính thật thà chia sẽ,5,8
22,22,Nữ,Ha Giang,ít bạn thích tự lập chia sẽ tính cách thất thường có phần hơi thích kiểm soát,lẩu cá đuối,...,không,tôn trọng riêng tư không dùng đồ mà chưa xin phép người vui tính giao tiếp khéo léo không quá thô thiển,7,10
23,23,Nữ,Quang Nam,lắng nghe,sữa đậu nành,thích đọc,không,ngăn nắp là được,1,10
24,24,Nam,Ha Giang,vui vẻ... hướng nội nói nhiều hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn toàn tự hào khi làm tốt 1 công việc được giao hơi ngại giao tiếp nhưng sẵn sàng học hỏi,nước nha đam trà chanh các loại xôi vs chè,ngôn ngữ môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính nhạc cụ lướt mạng video game,không,hiểu quy tắc cộng đồng - nghĩa là không thể thoải mái sống bừa bãi lôi thôi như một mình. sạch sẻ chung sở thích mình mong muốn được ở cùng một người thích tìm hiểu những điều mới lạ,8,7
25,25,Nam,Vung Tau,hướng nội nhưng thích làm social media thích ở nhà hơn là ở ngoài,socola ngọt ngào có chút đắng mì quảng đồ cay lẩu bò không uống nước ngọt có ga,choi game nghe nhạc bóng bàn,không,muốn có bạn gái dễ thương tử tế không quá nóng tính trung thực,10,8
26,26,Nữ,Tra Vinh,v.v sống cống hiến,trà dâu,thích môn toán cà phê đi tản bộ,không,không cùng cũng không sao thật thà không dùng đồ mà chưa xin phép hoạt bạt mong muốn được ở cùng với người có sở thích khoa học với mình,9,3
27,27,Nam,Bac Lieu,là người,bánh cuốn hoành thánh mắm chưng bánh mì...,viết lách đọc truyện tranh diy.. tấu hài thích vẽ,không,1 người tốt bụng,3,10
28,28,Nam,Bac Lieu,sống lowkey lúc nói nhiều lúc nói ít thích nghệ thuật có trách nhiệm cống hiến hết mình,trà ô long các loại trà trái cây cơm nhà đồ ăn nhanh,chơi hame pha chế,không,mọi thứ rõ ràng vui tính.,7,7
29,29,Nam,Ha Tinh,nói nhiều thích đám đông là người ít nói ít nói với người lạ bạo lọan nhưng lúc high thì lại muốn nói rất nhiều,đồ ăn healthy,phim hành động bói tử vi thích đá banh tắm (2l/ngày),không,người không nói quá nhiều thẳng tính biết làm việc nhà dễ chung sống,6,6
30,30,Nữ,Hung Yen,trầm tính,khoai tây lắc stings 7749 loại mắm. không thích đồ ăn chứa quá nhiều dầu,học bói tử vi ... vẽ tranh,không,có tình nghĩa huynh đệ nhưng không làm phiền người khác hay nhờ vả. có thể nhanh chóng nắm bắt cảm xúc ăn mặc ổn lắng nghe,9,6
31,31,Nữ,Lao Cai,hướng trung (ambivert) lúc thích một mình sống lowkey mình là một người hướng ngoại hòa đồng,hủ tiếu nam vang,đi chơi cùng bạn bè người thân tiền học ngoại ngữ tin học o buổi sáng,không,sạch sẽ. sòng phẳng tiền bạc. thích nấu ăn ai kiềm t việc t chơi ngu,9,9
32,32,Nam,Soc Trang,người hướng nội một người hướng ngoại làm biếng có lòng tự trọng thích mọi thứ có trật tự là người ít nói,kẹo dẻo trừ những món liên quan tới cá ; các dòng nước ngọt đều thích bún thịt nướng thích uống trà sữa ạ :v,đọc truyện ngắm bầu trời ...),không,biết chia sẻ công việc trong phòng có tình nghĩa huynh đệ hòa đồng dễ chịu hoà đồng hoạt bát sạch sẽ,7,8
33,33,Nữ,Binh Phuoc,sống cống hiến dễ ngại cống hiến hết mình linh hoạt,mì gói bò nướng tắc bánh tráng trộn thức ăn gì ngon đều yêu thích,tâm lí học đạp xe đạp bóng chuyền,không,trúa hề,6,8
34,34,Nam,Lao Cai,1 tháng chắc 1-2 lần) để giao lưu,không thích ăn cay lắm bim bim gà jollibee gà nói chung,thich chơi thể thao võ tâm lí học edit,Có,đừng ham chơi 🤡 vì mình sẽ chơi cùng trật tự,3,8
35,35,Nam,Ca Mau,đúng ik chang mô tả mẫu :))) ambivert,ức gà  nước dừa uống trà sữa hải sản nước,chơi đàn thích vẽ cà phê …,không,hoạt bát vui tính sạch sẽ hoà đồng vui vẻ trung thực tiền bạc rạch ròi,9,8
36,36,Nữ,Bac Lieu,thích đi lang thang một mình thích trò chuyện,cà phê ăn đồ cay sữa trái cây bún bò phở hu tiu com tam hamburger,du lịch cùng bạn thích học ngôn ngữ anh thích xem tivi,không,nhiệt tình vs mn hoạt bạt biết cách giúp đỡ trong những hoàn cảnh éo le( không nhất thiết cùng quê ) thật lòng,9,5
37,37,Nam,Lao Cai,thích ở một mình- lúc thích nói chuyện nhiều người hương ngoại nhưng khó kết bạn với hơi trầm là một người nội trải nghiệm thích trò chuyện,đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í.,thiết kế chơi vape phim,không,người có tính hòa đồng vui vẻ chân thật ko ồn ào với phá phách là được người sống có quy củ ở sạch sẽ cẩn thận hiểu lễ phép,9,9
38,38,Nữ,Thai Binh,hướng ngoại với người quen vui vẻ hoạt bát năng động nhưng hơi hướng nội .... nhưng thích trải nghiệm điều mới,thịt kho mắm ruốc fast food .........,bóng đá vận động thể lực (nhẹ) bơi lội. tin học,không,thoải mái,8,10
39,39,Nữ,Hai Duong,phần hướng nội nhiều hơn mê chơi đá gà có phần hơi thích kiểm soát hướng trung (ambivert) lúc thích một mình,nước ngọt có ga,kiếm tiền hít thở không khí trong lành ở công viên,không,có thể hoạt bát nhưng im lặng lúc cả phòng đang làm việc phát triển bản thân hài hước nhưng phải có điểm dừng,10,8
40,40,Nữ,Thanh Hoa,là người tình cảm nóng nảy - ưu tư người hay thay đổi áp dụng công nghệ mới,nước ép thơm mình thích ăn tất cả những gì mình thấy ngon. riêng đồ uống thì mình có niềm đam mê sâu sắc với rau má các món nướng,ios tám chuyện thích chơi game offline thích chơi với chó mèo,không,vui vẻ thoải mái sẵn sàng quan tâm chia sẻ có cùng sở thích là một điểm cộng,9,8
41,41,Nam,Bac Giang,là người hướng nội là một người nội hướng ngoại full time hiểu biết.,bò né,edit o buổi chiều hít thở không khí trong lành ở công viên chơi cầu lông tìm hiểu về văn hóa các nơi,không,trầm tính ít nói nữa thì quá tuyệt vời không ồn ào,9,10
42,42,Nữ,Ha Giang,ít nói bán hướng nội bán hướng ngoại,cafe spaghetti,mac os,không,biết đều,8,7
43,43,Nam,Quang Ngai,người thân,lẩu gà thức ăn gì ngon đều yêu thích khoai tây lắc thích ăn mì cay,mình còn có thể chơi cầu lông nữa tham gia hoạt động ngoại khoá,không,thích ăn ngoài cùng mình,8,8
44,44,Nam,Ha Giang,hướng ngoại í nói hướng nội thích giao lưu với mọi nguời,chiên ỏi bánh mì thích hamburger,tụ tập với bạn bè thích ngủ tiếng anh...,không,vui tính. vui vẻ hòa đồng không quậy phá,7,7
45,45,Nam,Kien Giang,hướng nội nói nhiều thân thiện hoà đồng trầm trầm nhưng lúc cần vẫn vui hết mình,đồ ăn hàn. đồ uống healthy đùi gà thịt ăn đồ ngọt uống nước ngọt,tắm (2l/ngày) văn học đàn hát choi game học tiếng anh,không,chịu đi chơi với tôi toi khong có roommate ham học,7,10
46,46,Nam,Hau Giang ,thích đi dây đó không thích nơi đông người dễ bị lung lay bởi cảm xúc thân thiện,bò nea,bóng đá hít thở không khí trong lành ở công viên nghe nhạc thích đánh cờ,không,hòa nhập lắng nghe biết nấu ăn người vui vẻ nhường nhịn biết như thế nào là bất lịch sự gọn gàng.,9,8
47,47,Nam,Quang Nam,hoặc có backup) huong noi,đồ nhướng,âm nhạc ( nghe nhạc) thích đi karaoke xem phim đặc biệt là thích nhạc của sơn tùng m-tp,không,tự giác dễ ăn uống là người vui tính,8,9
