,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
709,Nam,Son La,độc lập,mỳ quảng,học hóa chơi đàn piano phong thủy đạp xe đàn,không,có giúp đỡ ít nói thân thiện hiền hòa,8,7
1526,Nữ,Ca Mau,không phải hướng nội nhưng không thích chỗ đông người,chất béo hay phô mai. không ăn được cua :3 bánh ướt ăn đồ ngon đồ ăn nhà nấu rau,đọc truyện,không,ít nói,8,10
1335,Nữ,Lao Cai,khá hướng nội. thích sạch sẽ thích ở nhà hơn là ở ngoài,bánh . nước coca . mì cay... thích ăn món mì cay trừ đồ đắng ra thì mình đều ăn được,đi phượt lịch sử đu otp esports cờ vua,không,không tệ nạn,5,10
872,Nam,Kon Tum,thích nghệ thuật bạo lọan,thích ăn vặt chocolate thích uống trà sữa,chơi game cờ tướng đọc sách đọc tiểu thuyết,không,thấu hiểu biết chia sẻ giàu có nhưng không làm phiền người khác hay nhờ vả. có thể nhanh chóng nắm bắt cảm xúc biết đúng sai,8,9
2407,Nữ,Binh Dinh,thích được đi chơi,hủ tiếu nam vang món nào hợp khẩu vị thì mình ăn sữa đậu nành có ăn là được,ko thích bị ép buộc đu otp bơi,không,chia sẽ,7,8
162,Nữ,Phu Tho,mình là một người khá rụt rè khi ở một mình. muốn một mình nhưng sợ cô đơn náo động vùng trời :) hơi hướng nội,sữa tươi trân châu đường đen,toán bóng chuyền đồ ăn ngọt game mobile,không,chủ động biết giúp đỡ người vui tính siêng năng,8,7
959,Nữ,Phu Yen,lowkey là 1 người ít nói hướng nội là một ambivert,những món có vị chua đậu hũ cà chua. các món về tôm,đọc manga xem anime xem phim âu action nghe nhạc thích nghe nhạc kinh quẻ,không,biết lắng nghe thời gian của người khác,10,7
105,Nam,Thai Binh,50% hướng ngoài hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ thích đi dây đó thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ hướng nội tích cực,món nào chay đều thích đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í. mì cay trà sữa,học hỏi phá máy tính gym thích ngủ chăn nuôi,không,toi khong có roommate thoải mái có đạo đức,8,8
2461,Nam,Ha Giang,tôi là một người hoạt bát phần hướng nội nhiều hơn tích cực thích vui chơi,bún thịt nướng eat-clean,các chương trình giải trí lưới fb các hoạt động xã hội,không,ai đó chịu chơi ngu với t vui vẻ thẳng thắn ,5,9
892,Nam,Long An,thích đi dây đó có lúc hướng nội vui vẻ… hiểu biết.,fanta vị nho : d cơm tấm sườn bì chả,trống nằm dài nghe nhạc ngắm cảnh,không,ít nói biết điều trung thực là người vui tính giống tính cách càng tốt nhưng k nên là bạn thân,7,9
1484,Nữ,Binh Dinh,ở nhà hướng nội ra đường hướng ngoại 🙄 một người hoà đồng thích,thích đồ chiên thích ăn cay có ăn . nhiều lắm nào cũng ăn được,vân vân... video game online shopping thích xem phim,không,biết giữ gìn hoà khí chung giỏi o câu chuyện hay tình huống. là người có thể đưa ra lời khuyên nhưng không quá lố,9,10
2136,Nữ,Thai Binh,hướng ngoại full time thích trò chuyện lười giao tiếp...,. snack,thế giới pokemon văn học,không,trung thực,10,8
2380,Nam,Nam Dinh ,có xu hướng ambivert trải nghiệm hướng nội tích cực khá hướng nội. thích sạch sẽ nhưng lại thích giao lưu =)),các đồ ăn hỗ trợ cho việc giảm cân cơm gà ... các loại bún nem nướng,học toán đông y lập trình thích ngồi lướt mạng xh cả ngày,không,chung ngành học vui vẻ nhiệt tình biết nghĩ không vô duyên,8,9
450,Nữ,Binh Thuan,ngoại,bánh bò mi tom,ăn vận động thể lực (nhẹ),không,gọn ràng sạch sẽ im lặng ăn xong nhớ dọn trật tự,5,9
871,Nữ,Quang Ngai,thích thử thách,cơm chiên các món ăn truyền thống hoặc món ăn đường phố việt nam,thích đọc sách đá cầu thích chơi game,không,biết chia sẻ công việc ý thức,8,8
