,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
18,Nam,Binh Phuoc,hướng nội nữa mùa chỉ thích ngủ một mình hoà đồng với mọi người thoải mái,các loại lẩu,xem phim ngôn tình ...) tám chuyện học nhóm online,không,sẻ chia,5,7
9958,Nữ,Gia Lai,thích ở một mình,lẩu mì gói xôi c2,đi tản bộ xe cộ,không,chia sẽ không ích kỷ sạch gọn sạch sẽ một chút khong co,7,8
7377,Nam,Ha Tinh,khó giao tiếp nghiêm túc,ăn sushi trà mỳ trộn lẩu cá đuối,ko học hóa  decor phòng,không,ăn nhiều dễ dãi 1 người tốt bụng vui vẻ dễ tính sạch sẽ,9,7
6735,Nữ,Hai Duong,nói nhiều thích đám đông nhưng lúc high thì lại muốn nói rất nhiều sợ xã hội thích có ko gian riêng tư 1 mình xàm,lẩu thái lẩu chay cơm tấm,bơi trí tuệ như nhau nên điều đó cũng là một sự thú bị esports ..,không,v.v biết quan tâm hiểu quy tắc cộng đồng - nghĩa là không thể thoải mái sống bừa bãi lôi thôi như một mình. tốt bụng đặc biệt là tam quan đúng đắn,10,10
4116,Nam,Ha Giang,giống ví dụ hướng nội trải nghiệm người suy nghĩ nhiều,"bánh chuối chiên cá viên chiên mắm tỏi khoai tây lắc 1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép đồ hàn",thích vẽ,không,sòng phẳng có thể đấu tranh với sự vô tâm ít nói của mình không quá ồn ào tôn trọng mình,8,7
7010,Nam,Nghe An,hoà đồng hướng ngoại bình thường 🤤 tôi là một người hoạt bát thích đông vui,miến trộn canh trứng cà chua espresso snack cơm,thư giãn thích khoa học,không,k ồn sau 11h ở sách không bừa bộn biết nhậu ít nói thích nói chuyện,5,10
7286,Nữ,Ha Tinh,hơi hướng nội mình là một người ít nói ....,ăn đồ ăn nhanh trà chanh trân châu,thích bơi đọc sách..,không,đừng nói quá nhiều đánh giá ngăn nắp. biết tuân thủ lợi ích chung. tử tế,10,8
7024,Nam,Kon Tum,ưa mạo hiểm mình là một người hướng ngoại hướng nội ít nói nhưng hoà đồng thân thiện chỉ thích ngủ một mình,trà đào thạch sữa ăn được uống được lẩu chay,cờ tướng thích chơi suốt ngày cờ vua,không,không khó tính,10,10
3140,Nam,Thanh Hoa,khá vui vẻ ambivert,bánh gai các loại bạn,cầu long.,không,học giỏi 1 chút (nhưng không tự cao v.v đơn giản cùng ngành hoà đồng với mọi người,6,7
1143,Nam,Ha Tinh,yêu thiên nhiên thích sống ở trọ,đặc biệt là chè nem nướng chỉ cần không cay là được,mình thích đọc tiểu thuyết và truyện tranh nghe nhạc xem phim đi lượn đường chạy bộ văn học,không,sạch! gọn gàng!!!! thời gian của người khác sạch sẽ một chút sạch sẽ không bừa bộn,5,8
6639,Nữ,Nghe An,.... nhưng thích trải nghiệm điều mới mình khá ít nói cũng như là hướng nội thoải mái khi gia nhập,em thích các loại bún ạ trái cây,lập trình thế giới,không,em thích ở chung với người tôn trọng khoảng cách có chừng mực - vui vẻ tính cách thẳng thắn nhưng không vô duyên thống minh,8,8
8663,Nữ,Bac Lieu,thích sống ở trọ hướng nội nhưng thích làm social media,uống trà sữa ăn hải sản hột vịt lộn rang me ăn cơm mẹ nấu canh kim chi,coi anime quay tik tok,không,ít nói thân thiện biết cách giúp đỡ trong những hoàn cảnh éo le( không nhất thiết cùng quê ),9,8
2150,Nam,Quang Ngai,ít bạn một người ít nói hướng nội,gà rán,"đạp xe đi mua sắm

không thích: chạy bộ thích chơi với chó mèo đi dạo hội hoạ",không,ý kiến của mình lên bạn cùng phòng mọi thứ rõ ràng bạn cùng phòng phải là người hiểu chuyện,9,7
9559,Nữ,Binh Phuoc,hướng nội tích cực đôi khi ko thích chia sẻ nhiều lắm hướng ngoại partime,nước dưa hấu ép,vẽ,Có,biết điều bình thường,9,10
9052,Nữ,Bac Lieu,hướng nội 35% ít nói hướng nội một người nửa hướng nội ko thích đi chơi thích tự lập,ăn vặt hủ tiếu …. fastfood trà sữa double trân châu 7up,thích bơi chạy bộ thích tiếng anh,không,không thích chung phòng sạch sẽ. tính cách thẳng thắn nhưng không vô duyên ồn ào đúng lúc đúng chỗ,7,7
5943,Nam,Long An,một người ít nói hướng nội hoà đồng với mng,thích ăn đồ việt nam,tiền ráp pc dark fantasy manga hóng drama,không,cùng sở thích,8,7
285,Nữ,Kien Giang,lười làm việc nhà,mình rất thích đồ ăn vặt nước ngọt miễn là nước ngọt có ga bánh cam bánh ngọt,đánh bóng bàn chạy bộ o buổi tối xem tv series thích hát,không,quan tâm ăn xong nhớ dọn,7,9
1544,Nam,Thanh Hoa,cống hiến hết mình muốn một mình nhưng sợ cô đơn sống cống hiến,mì quảng,thư giãn quay tik tok,không,sạch sẽ không bừa bộn,8,7
8167,Nữ,Binh Phuoc,mình là một người hướng ngoại,hầu hết các món con người dùng được gà rán hay đồ chiên,ở nhà một mình ko thích gì hết choi game thiện nguyện mình thích hát,không,điềm tĩnh,8,5
